image_name,x,y,frame_number,sequence_id,number_of_points,DateTimeOriginal,PixelXDimension,PixelYDimension,species,deployment,ImageHeight,ImageWidth,radius,angle,pixdiff,dist,timediff,time,speed,frames
EECEP_Sum2024_AK14_IMG_0310_17_03_2024_21_52_19.jpg,1032.4111,983.4011596,309,132,15,2024:03:17 21:52:19,3712,2088,Indian_jackal,AK14,2088,3712,12.91970944,-0.173318814,1781.582211,10.58479518,8,8,1.323099398,15
EECEP_Sum2024_AK14_IMG_0325_18_03_2024_18_33_54.jpg,2532.909964,1095.164997,324,142,10,2024:03:18 18:33:54,3712,2088,Indian_hare,AK14,2088,3712,7.53615253,0.142451206,764.9988885,3.765340427,8818,8818,0.000427006,10
EECEP_Sum2024_AK14_IMG_0345_19_03_2024_04_45_40.jpg,3254.154479,1139.241051,344,143,20,2024:03:19 04:45:40,3712,2088,Indian_hare,AK14,2088,3712,6.394188691,0.294232325,2534.080843,5.812925872,23,23,0.252735907,20
EECEP_Sum2024_AK14_IMG_0391_19_03_2024_20_30_55.jpg,1346.846994,1198.267991,390,146,10,2024:03:19 20:30:55,3712,2088,Indian_hare,AK14,2088,3712,6.842998367,-0.107147869,1004.969436,3.478352317,20921,20921,0.000166261,10
EECEP_Sum2024_AK14_IMG_0401_20_03_2024_04_48_11.jpg,2618.409677,993.1262642,400,147,2,2024:03:20 04:48:11,3712,2088,Indian_hare,AK14,2088,3712,9.663263318,0.160444053,828.8530935,2.102899135,68372,68372,3.08E-05,2
EECEP_Sum2024_AK14_IMG_0440_20_03_2024_23_47_43.jpg,1794.431949,1095.160803,439,149,6,2024:03:20 23:47:43,3712,2088,Indian_hare,AK14,2088,3712,8.203512308,-0.012956587,1404.455342,2.957953398,22,22,0.134452427,6
EECEP_Sum2024_AK14_IMG_0450_21_03_2024_03_18_21.jpg,2880.826105,1009.473194,449,150,5,2024:03:21 03:18:21,3712,2088,Indian_hare,AK14,2088,3712,8.912679238,0.215667848,1006.99666,2.319863873,2,2,1.159931937,5
EECEP_Sum2024_AK14_IMG_0460_21_03_2024_03_49_01.jpg,2631.2806,1004.133589,459,158,5,2024:03:21 03:49:01,3712,2088,Indian_hare,AK14,2088,3712,9.349418508,0.163152653,958.9994193,2.593643951,2,2,1.296821975,5
EECEP_Sum2024_AK14_IMG_0465_21_03_2024_04_35_53.jpg,3353.058378,1040.222477,464,159,15,2024:03:21 04:35:53,3712,2088,Indian_hare,AK14,2088,3712,7.795420453,0.315045993,2993.422391,5.017090966,21,21,0.238909094,15
EECEP_Sum2024_AK14_IMG_0525_27_03_2024_12_06_55.jpg,2713.769489,1375.333589,524,165,6,2024:03:27 12:06:55,3712,2088,Indian_jackal,AK14,2088,3712,4.566884532,0.180511892,893.801465,1.369117933,4,4,0.342279483,6
EECEP_Sum2024_AK15_IMG_3146_24_03_2024_00_51_41.jpg,2520.967942,1282.308532,281,224,10,2024:03:24 00:51:41,3712,2088,Small_indian_civet,AK15,2088,3712,7.459000909,0.139938087,1564.563384,3.132980398,12,12,0.2610817,10
