"X","image_name","x","y","frame_number","sequence_id","number_of_points","DateTimeOriginal","PixelXDimension","PixelYDimension","Type","species","old_seq_id","Location_ID","name","deployment","ImageHeight","ImageWidth","Location.ID","radius","angle","frame_count","Sequence.number","pixdiff","dist","timediff","time","speed","frames"
454,"EECEP_Sum2024_AK17_IMG_1191_28_02_2024_00_27_33.jpg",2874.69986186044,1648.78507569206,163,293,5,"2024:02:28 00:27:33",3712,2088,"Movement","Hog_deer",293,"AK17","Hog_deer","AK17",2088,3712,"AK17",4.3526021231702,0.214378620515403,1,293,2183.51590115816,3.8445899237882,9,9,0.427176658198689,5
459,"EECEP_Sum2024_AK17_IMG_1193_28_02_2024_00_27_37.jpg",3478.34584689987,1781.45452295347,165,294,6,"2024:02:28 00:27:37",3712,2088,"Movement","Hog_deer",294,"AK17","Hog_deer","AK17",2088,3712,"AK17",3.69920402766051,0.341411909119248,5,294,3191.53479271869,5.38488784223117,11,11,0.489535258384652,6
467,"EECEP_Sum2024_AK17_IMG_3070_20_03_2024_10_45_02.jpg",254.478379666278,1230.2732554731,211,297,8,"2024:03:20 10:45:02",3712,2088,"Movement","Hog_deer",297,"AK17","Hog_deer","AK17",2088,3712,"AK17",9.12277025332659,-0.337029588936738,1,297,3498.48497404874,7.69992893203969,13,13,0.592302225541515,8
598,"EECEP_Sum2024_AK2_IMG_2838_27_03_2024_18_14_00.jpg",3010.28167960708,1398.44023121681,370,417,30,"2024:03:27 18:14:00",3712,2088,"Movement","Sambar",417,"AK2","Sambar","AK2",2088,3712,"AK2",7.71083674565595,0.242910913631073,13,417,2985.15621383763,15.6331702214867,17,17,0.919598248322745,30
631,"EECEP_Sum2024_AK2_IMG_4382_06_04_2024_01_00_38.jpg",1072.55553353591,1441.19990543887,435,421,16,"2024:04:06 01:00:38",3712,2088,"Movement","Indian_hare",421,"AK2","Indian_hare","AK2",2088,3712,"AK2",7.16222828306874,-0.164870684937824,13,421,2117.26018797934,15.071797143726,8983,8983,0.00167781333003741,16
686,"IMG_0164.JPG",3697.130757,1560.645395,163,461,6,"2024:03:06 09:56:25",3712,2088,"Movement","Indian_jackal",461,"AK20","Indian_jackal","AK20",2088,3712,"AK20",4.56962590304074,0.387453740450406,2,461,3349.11813136652,3.78432687026675,27,27,0.140160254454324,6
796,"EECEP_Sum2024_AK23_EECEP_Sum2024_AK23_IMG_4706_10_03_2024_18_52_52_10_03_2024_18-52_52.jpg",3486.304644,1582.769916,191,503,18,"2024:03:10 18:52:52",3712,2088,"Movement","Hog_deer",503,"AK23","Hog_deer","AK23",2088,3712,"AK23",6.72873071979334,0.343086785112822,1,503,2765.91406188009,6.07599354598989,17,17,0.357411385058229,18
829,"EECEP_Sum2024_AK25_IMG_0328_27_02_2024_09_40_36.jpg",1888.67257953747,1610.99479014762,95,519,7,"2024:02:27 09:40:36",3712,2088,"Movement","Asiatic_wild dog",519,"AK25","Asiatic_wild dog","AK25",2088,3712,"AK25",5.51206934809244,0.00687572737776829,1,519,1687.55896813281,2.13449748992422,8,8,0.266812186240527,7
837,"EECEP_Sum2024_AK25_IMG_0416_06_03_2024_17_18_28.jpg",2262.9452979721,1991.11551980779,183,521,7,"2024:03:06 17:18:28",3712,2088,"Movement","Sambar",521,"AK25","Sambar","AK25",2088,3712,"AK25",3.68836853008981,0.0856389353436862,1,521,2197.47281795066,1.80162945474905,3,3,0.600543151583018,7
876,"EECEP_Sum2024_AK25_IMG_0703_11_03_2024_09_44_24.jpg",-38.2080181752071,2050.41147861679,470,554,19,"2024:03:11 09:44:24",3712,2088,"Movement","Sambar",554,"AK25","Sambar","AK25",2088,3712,"AK25",2.86633955831944,-0.398623497566791,1,554,3401.27524360696,3.04873407782371,17,17,0.179337298695512,19
926,"EECEP_Sum2024_AK25_IMG_1030_20_03_2024_17_07_43.jpg",1702.23983882713,1774.38035038806,797,586,2,"2024:03:20 17:07:43",3712,2088,"trigger","Hog_deer",586,"AK25","Hog_deer","AK25",2088,3712,"AK25",4.35992641461078,-0.0323578047632853,1,586,621.095491818426,2.12817769763192,750124,750124,2.83710119611147e-06,2
979,"EECEP_Sum2024_AK25_IMG_1498_27_03_2024_19_53_14.jpg",611.508781552631,2141.76874219565,1265,638,18,"2024:03:27 19:53:14",3712,2088,"Movement","Hog_deer",638,"AK25","Hog_deer","AK25",2088,3712,"AK25",2.81444828751343,-0.261894911978333,7,638,2409.61292105631,3.39412058228878,13,13,0.261086198637598,18
1312,"EECEP_Sum2024_AK-28_IMG_0821_11_03_2024_19_58_17.jpg",1614.75064101573,1140.83646116664,116,769,7,"2024:03:11 19:58:17",3712,2088,"Movement","Jungle_cat",769,"AK28","Jungle_cat","AK28",2088,3712,"AK28",7.75681002420401,-0.0507693254074067,13,769,1888.49616699646,5.66351393988436,12,12,0.471959494990363,7
1525,"IMG_0497.JPG",3432.52423494576,1118.54374631139,462,916,13,"2024:03:08 00:04:55",3712,2088,"Movement","Hog_deer",916,"AK4","Hog_deer","AK4",2088,3712,"AK4",8.39321138595845,0.331769055195056,9,916,2292.93690543761,10.9665990195782,6,6,1.82776650326303,13
1540,"IMG_5463.JPG",3695.88417061506,1083.44510368534,538,919,15,"2024:03:27 17:31:24",3712,2088,"Movement","Sambar",919,"AK4","Sambar","AK4",2088,3712,"AK4",9.1590964354589,0.387191404624553,15,919,3701.55349978383,8.83608792019845,12,12,0.736340660016538,15
1586,"EECEP_Sum2024_AK-8_IMG_0923_05_03_2024_23_13_12.jpg",3718.0713440072,1734.52716647257,255,951,18,"2024:03:05 23:13:12",3712,2088,"Movement","Indian_jackal",951,"AK8","Indian_jackal","AK8",2088,3712,"AK8",3.23501538286789,0.391860547914959,8,951,1886.2773264145,4.24953530843564,15,15,0.283302353895709,18
1632,"EECEP_Sum2024_AK12_IMG_3187_12_03_2024_13_56_30.jpg",126.194828477698,1532.1816760015,162,980,11,"2024:03:12 13:56:30",3712,2088,"Movement","Hog_deer",980,"AK12","Hog_deer","AK12",2088,3712,"AK12",4.44592099271845,-0.364026010324682,1,980,3522.04213138395,7.21730334751535,9,9,0.801922594168372,11
1644,"EECEP_Sum2024_AK12_IMG_3202_12_03_2024_13_56_49.jpg",1225.62084964583,1397.67741781405,177,982,5,"2024:03:12 13:56:49",3712,2088,"Movement","Hog_deer",982,"AK12","Hog_deer","AK12",2088,3712,"AK12",6.4542870884766,-0.132659105703415,4,982,924.156830723836,1.51235042501248,2,2,0.756175212506242,5
1679,"EECEP_Sum2024_AK18_IMG_2126_02_01_2020_06_32_02.jpg",2046.89039926632,2267.07008854379,171,1013,11,"2020:01:02 06:32:02",3712,2088,"Movement","Hog_deer",1013,"AK18","Hog_deer","AK18",2088,3712,"AK18",2.58046285167451,0.0401716167798543,15,1013,2165.96457993008,3.3925131444152,8,8,0.4240641430519,11
1739,"EECEP_Sum2024_AK21_IMG_2349_08_03_2024_18-22_24.jpg",774.098243257658,999.830180620802,305,1063,20,"2024:03:08 18:22:24",3712,2088,"Movement","Hog_deer",1063,"AK21","Hog_deer","AK21",2088,3712,"AK21",7.96233727685164,-0.22767903955541,10,1063,2601.06710606157,5.77908676316538,28,28,0.206395955827335,20
1761,"EECEP_Sum2024_AK21_IMG_2869_24_03_2024_00-09_12.jpg",417.369558499662,1035.44990158247,825,1066,15,"2024:03:24 00:09:12",3712,2088,"Movement","Hog_deer",1066,"AK21","Hog_deer","AK21",2088,3712,"AK21",7.47182135590742,-0.302750222147923,1,1066,1947.1078196335,4.65142437342634,12,12,0.387618697785528,15
1780,"EECEP_Sum2024_AK21_IMG_3018_28_03_2024_18-28_01.jpg",125.916840409947,1414.50732402578,974,1071,8,"2024:03:28 18:28:01",3712,2088,"Movement","Hog_deer",1071,"AK21","Hog_deer","AK21",2088,3712,"AK21",4.4308641713051,-0.364084511067359,4,1071,3336.65823111163,2.8998419387006,5,5,0.57996838774012,8
1790,"EECEP_Sum2024_AK21_IMG_3281_02_04_2024_03-13_03.jpg",2985.59424046589,1105.62603628896,1237,1074,7,"2024:04:02 03:13:03",3712,2088,"Movement","Sambar",1074,"AK21","Sambar","AK21",2088,3712,"AK21",6.49694812058911,0.237715606018603,5,1074,2840.51074620729,4.09686429062438,5,5,0.819372858124877,7
1853,"IMG_0881.JPG",1913.54021557871,1416.7724099053,148,1129,4,"2024:03:27 02:20:24",3712,2088,"Movement","Hog_deer",1129,"AK22","Hog_deer","AK22",2088,3712,"AK22",21.8821285476055,0.0121089562311265,12,1129,1132.32008315773,13.8995924209992,2,2,6.94979621049962,2
1858,"IMG_0889.JPG",1352.65233916493,1521.0472587196,156,1131,5,"2024:03:28 03:42:16",3712,2088,"Movement","Hog_deer",1131,"AK22","Hog_deer","AK22",2088,3712,"AK22",14.1124859265045,-0.105926172378592,4,1131,673.793313015854,18.126192374047,5,5,3.6252384748094,3
